p_num,p_na,p_ty,p_rad,p_ad,p_lat,p_lon,p_ce_na,p_pho,p_ce_ad
44270-00027,공원:132(대덕수청지구 도시개발사업:35/구름),어린이공원,nan,충청남도 당진시 대덕동 1835,36.88497603,126.6463185,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00028,공원:133(대덕수청지구 도시개발사업:36/무지개),어린이공원,nan,충청남도 당진시 대덕동 1878,36.88200697,126.6442476,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00029,공원:134(당진:37 채운),소공원,nan,충청남도 당진시 채운동 1126,36.89385027,126.6219112,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00030,공원:135(당진:44 남산공원),소공원,nan,충청남도 당진시 읍내동 232-40,36.894527,126.631857,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00031,공원:136(수청지구),어린이공원,nan,충청남도 당진시 수청동 863-1,36.89735285,126.6463375,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00032,공원:137(수청지구),어린이공원,nan,충청남도 당진시 수청동 849-26,36.8927558,126.6471064,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00033,공원:138(수청지구),소공원,nan,충청남도 당진시 수청동 867,36.89729841,126.6471116,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00034,공원:139(수청지구),소공원,nan,충청남도 당진시 수청동 849-32,36.89346951,126.6468852,충청남도 당진시청,041-350-4182,충청남도 당진시
50130-00009,강창학공원,체육공원,제주특별자치도 서귀포시 중산간서로 97,제주특별자치도 서귀포시 강정동 1480,33.261172,126.4995073,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00010,인성공원,소공원,nan,제주특별자치도 서귀포시 대정읍 인성리 393-1,33.246941,126.276308,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00011,시흥공원,체육공원,제주특별자치도 서귀포시 성산읍 시흥하동로 89,제주특별자치도 서귀포시 성산읍 시흥리 12,33.477752,126.906884,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00012,천지공원,어린이공원,제주특별자치도 서귀포시 서문서로 43,제주특별자치도 서귀포시 서귀동 304-4,33.251183,126.558513,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00013,중앙공원,어린이공원,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,33.25014898,126.5632305,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00014,동홍공원,어린이공원,제주특별자치도 서귀포시 동홍동 태평로536번길 6,제주특별자치도 서귀포시 동홍동 199-3,33.250911,126.575266,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00015,태양공원,어린이공원,nan,제주특별자치도 서귀포시 동홍동 82-2,33.257854,126.573162,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00016,희망공원,어린이공원,nan,제주특별자치도 서귀포시 동홍동 87-4,33.257862,126.571005,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
50130-00017,동광공원,어린이공원,제주특별자치도 서귀포시 동홍동로32번길 14,제주특별자치도 서귀포시 동홍동 100-3,33.257504,126.576386,제주특별자치도 서귀포시청,064-760-3192,제주특별자치도 서귀포시
44270-00001,공원:102(당진:02 계림공원),근린공원,nan,충청남도 당진시 수청동 산148,36.89744497,126.6450933,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00002,공원:103(당진:03 승리봉공원),역사공원,nan,충청남도 당진시 읍내동 507-12,36.89554285,126.627703,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00003,공원:104(당진:04 채운공원),근린공원,nan,충청남도 당진시 채운동 357-21,36.89064383,126.619224,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00004,공원:107(당진:06 남산공원),근린공원,nan,충청남도 당진시 읍내동 234-33,36.89438169,126.6345673,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00005,공원:109(당진:8 서문공원),소공원,nan,충청남도 당진시 읍내동 560-2,36.89320136,126.6271367,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00006,공원:110(당진:09 새싹공원),어린이공원,nan,충청남도 당진시 읍내동 177-1,36.89023423,126.6353885,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00007,공원:111(당진:10 은하공원),어린이공원,nan,충청남도 당진시 채운동 278-4,36.8946859,126.6226732,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00008,공원:113(당진:12 하늘공원),어린이공원,nan,충청남도 당진시 읍내동 1373,36.88803752,126.6348417,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00009,공원:114(당진:13 보름달공원),어린이공원,nan,충청남도 당진시 채운동 1042,36.88720282,126.6306794,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00010,공원:115(당진:14 바다공원),어린이공원,nan,충청남도 당진시 대덕동 1522,36.8868512,126.6349617,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00011,공원:116(당진:15 해바라기공원),근린공원,nan,충청남도 당진시 대덕동 1710,36.88615679,126.6398247,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00012,공원:117(당진:16 채송공원),근린공원,nan,충청남도 당진시 읍내동 1068,36.89007621,126.6391197,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00013,공원:118(당진:17 라일락공원),근린공원,nan,충청남도 당진시 읍내동 934,36.89288768,126.6391892,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00014,공원:119(당진:21 한마음공원),근린공원,nan,충청남도 당진시 읍내동 1487,36.90047324,126.6292377,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00015,공원:120(당진:22 하나공원),어린이공원,nan,충청남도 당진시 읍내동 1450,36.89777744,126.6247316,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00016,공원:121(당진:23 우리공원),어린이공원,nan,충청남도 당진시 우두동 1388,36.9023557,126.6326383,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00017,공원:122(당진:25 원당공원),근린공원,nan,충청남도 당진시 원당동 1225,36.8990408,126.6402792,충청남도 당진시청,041-350-4182,충청남도 당진시
41390-00044,평안공원,근린공원,경기도 시흥시 정왕대로298번길 36,경기도 시흥시 정왕동 1787-4,37.339462,126.741902,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00045,소망공원,근린공원,nan,경기도 시흥시 정왕동 1368,37.33418417,126.7263363,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00046,송운공원,근린공원,nan,경기도 시흥시 정왕동 1873-1,37.35833842,126.7323096,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00047,군서공원,근린공원,경기도 시흥시 정왕천로369번길 46,경기도 시흥시 정왕동 1581,37.344111,126.745326,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00048,큰솔공원,근린공원,경기도 시흥시 큰솔로 67-8,경기도 시흥시 정왕동 1512,37.343621,126.753604,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00049,동보공원,근린공원,nan,경기도 시흥시 정왕동 1942-3,37.35501153,126.7164091,경기도 시흥시청,031-310-3862,경기도 시흥시
41390-00050,함현공원,근린공원,경기도 시흥시 함송로29번길 31,경기도 시흥시 정왕동 1878-3,37.365328,126.733162,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00051,옥구공원,근린공원,경기도 시흥시 서해안로 277,경기도 시흥시 정왕동 2138,37.354515,126.709913,경기도 시흥시청,031-310-3862,경기도 시흥시
41390-00052,사랑공원,어린이공원,nan,경기도 시흥시 정왕동 1872-7,37.35539691,126.733836,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00053,시흥공원,어린이공원,nan,경기도 시흥시 정왕동 1871-2,37.35197956,126.730352,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00054,해공원,어린이공원,nan,경기도 시흥시 정왕동 1542-5,37.34176763,126.755992,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00055,새싹공원,어린이공원,nan,경기도 시흥시 정왕동 1412-9,37.340119,126.751166,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00056,달공원,어린이공원,nan,경기도 시흥시 정왕동 1504-2,37.345364,126.7548827,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00057,별공원,어린이공원,경기도 시흥시 군서로18번길 16-1,경기도 시흥시 정왕동 1192-1,37.345619,126.750813,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00058,꿈동산공원,어린이공원,경기도 시흥시 군서로18번길 16-1,경기도 시흥시 정왕동 1569-10,37.345619,126.750813,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00059,무지개공원,어린이공원,경기도 시흥시 군서로54번길 4,경기도 시흥시 정왕동 1207-1,37.34656969,126.746975,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00060,연못공원,어린이공원,nan,경기도 시흥시 정왕동 1825-2,37.34846767,126.7448524,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00061,군서희망공원,어린이공원,nan,경기도 시흥시 정왕동 1607,37.3457771,126.7424281,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00062,함현공원,어린이공원,nan,경기도 시흥시 정왕동 1878-6,37.36579704,126.7357929,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00063,함송공원,어린이공원,nan,경기도 시흥시 정왕동 1877-6,37.36341337,126.7341486,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00064,온들녘공원,어린이공원,nan,경기도 시흥시 정왕동 1876-5,37.36104853,126.731569,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00065,풀잎사랑공원,어린이공원,nan,경기도 시흥시 정왕동 1875-6,37.358559,126.7293111,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00066,서해공원,어린이공원,nan,경기도 시흥시 정왕동 1867-4,37.35476263,126.7247245,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00067,웃터골공원,근린공원,경기도 시흥시 대은로104번길 15,경기도 시흥시 은행동 600,37.444342,126.800385,경기도 시흥시청,031-310-3892,경기도 시흥시
41390-00068,샛말공원,근린공원,경기도 시흥시 하중로173번길 23,경기도 시흥시 하중동 848,37.395022,126.804842,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00069,관곡공원,어린이공원,경기도 시흥시 관곡지로40번길 15,경기도 시흥시 하중동 826-2,37.399501,126.800632,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00070,성마루공원,어린이공원,nan,경기도 시흥시 하중동 880-2,37.39089464,126.8052669,경기도 시흥시청,031-310-3872,경기도 시흥시
44270-00002,공원:103(당진:03 승리봉공원),근린공원,nan,충청남도 당진시 읍내동 507-12,36.895543,126.627703,충청남도 당진시청,041-350-4212,충청남도
44270-00003,공원:104(당진:04 채운공원),근린공원,nan,충청남도 당진시 채운동 357-21,36.890644,126.619224,충청남도 당진시청,041-350-4212,충청남도
44270-00004,공원:107(당진:06 남산공원),근린공원,nan,충청남도 당진시 읍내동 234-33,36.894382,126.634567,충청남도 당진시청,041-350-4212,충청남도
44270-00005,공원:109(당진:8 서문공원),소공원,nan,충청남도 당진시 읍내동 560-2,36.893201,126.627137,충청남도 당진시청,041-350-4212,충청남도
44270-00006,공원:110(당진:09 새싹공원),어린이공원,nan,충청남도 당진시 읍내동 177-1,36.890234,126.635389,충청남도 당진시청,041-350-4212,충청남도
44270-00007,공원:111(당진:10 은하공원),어린이공원,nan,충청남도 당진시 채운동 278-4,36.894686,126.622673,충청남도 당진시청,041-350-4212,충청남도
41390-00026,석곡공원,어린이공원,경기도 시흥시 한우물로21번길 30,경기도 시흥시 거모동 1739-1,37.343985,126.781132,경기도 시흥시청,031-310-3871,경기도 시흥시
41390-00027,거모공원,어린이공원,경기도 시흥시 군자로466번길 92,경기도 시흥시 거모동 1754-1,37.343039,126.784341,경기도 시흥시청,031-310-3871,경기도 시흥시
41390-00028,태봉공원,어린이공원,경기도 시흥시 군자로534번안길 6-6,경기도 시흥시 거모동 1768-5,37.34211063,126.786824,경기도 시흥시청,031-310-3871,경기도 시흥시
41390-00029,도일공원,어린이공원,경기도 시흥시 군자로534번길 36,경기도 시흥시 거모동 1775-2,37.3401446,126.7858389,경기도 시흥시청,031-310-3871,경기도 시흥시
41390-00030,옥터공원,어린이공원,nan,경기도 시흥시 정왕동 1998-5,37.34644588,126.6896503,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00031,오이도공원,어린이공원,경기도 시흥시 오이도1길 30,경기도 시흥시 정왕동 2040-1,37.34186447,126.690127,경기도 시흥시청,031-310-3862,경기도 시흥시
41390-00032,비둘기공원,근린공원,nan,경기도 시흥시 은행동 551,37.44211319,126.7943282,경기도 시흥시청,031-310-3894,경기도 시흥시
41390-00033,은행공원,어린이공원,nan,경기도 시흥시 은행동 538-4,37.44243637,126.7984214,경기도 시흥시청,031-310-3894,경기도 시흥시
41390-00034,정왕1공원,어린이공원,nan,경기도 시흥시 정왕동 2246-1,37.3571747,126.752319,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00035,정왕2공원,어린이공원,nan,경기도 시흥시 정왕동 2253-4,37.35875938,126.754915,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00036,정왕3공원,어린이공원,nan,경기도 시흥시 정왕동 2299-4,37.35304645,126.740217,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00037,정왕4공원,어린이공원,nan,경기도 시흥시 정왕동 2307-3,37.35370263,126.7430443,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00038,정왕5공원,어린이공원,nan,경기도 시흥시 정왕동 2322-3,37.35198074,126.743859,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00039,정왕6공원,어린이공원,nan,경기도 시흥시 정왕동 2312-4,37.35264631,126.7456561,경기도 시흥시청,031-310-3864,경기도 시흥시
41390-00040,중앙공원,근린공원,nan,경기도 시흥시 정왕동 1845-1,37.34955724,126.7354085,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00041,서촌공원,근린공원,nan,경기도 시흥시 정왕동 1848-2,37.34892119,126.7264112,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00042,희망공원,근린공원,경기도 시흥시 군자천로131번길 64,경기도 시흥시 정왕동 1358,37.33593345,126.715039,경기도 시흥시청,031-310-3865,경기도 시흥시
41390-00043,젊음과패기의 공원,근린공원,nan,경기도 시흥시 정왕동 1800-5,37.34774613,126.7398198,경기도 시흥시청,031-310-3864,경기도 시흥시
41220-00118,29호 어린이공원(서정동),어린이공원,nan,경기도 평택시 비전동 1075공,37.002226,127.107017,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00119,2호 어린이공원(동삭 세교지구),어린이공원,nan,경기도 평택시 비전동 1004-1공,37.003243,127.096344,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00096,2호 물빛2 수변공원(소사벌택지 이곡수변),수변공원,nan,경기도 평택시 비전동 1016공,37.003573,127.103911,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00097,3호 소리 수변공원(소사벌택지),수변공원,nan,경기도 평택시 죽백동 737-2공,37.007098,127.111214,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00098,4호 소리 수변공원(소사벌택지),수변공원,nan,경기도 평택시 비전동 1032공,37.004339,127.107357,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00099,5호 물빛3 수변공원(소사벌택지 이곡수변),수변공원,nan,경기도 평택시 비전동 1069공,37.00246,127.107881,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00100,6호 물빛4 수변공원(소사벌택지 이곡수변),수변공원,nan,경기도 평택시 비전동 1065 1093 1099,37.001798,127.111412,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00101,7호 너울 수변공원(소사벌택지),수변공원,nan,경기도 평택시 비전동 966 966-1~6,37.003257,127.090635,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00102,군문 수변공원,수변공원,nan,경기도 평택시 군문동 201-1,36.982112,127.091679,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00103,상서재 1호 수변공원(동삭2지구),수변공원,nan,경기도 평택시 동삭동 12-1,37.015396,127.104691,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00104,11호 어린이공원(서정동),어린이공원,nan,경기도 평택시 동삭동 186-1,37.006472,127.093243,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00105,14호 어린이공원(고덕국제화지구  두릉리),어린이공원,nan,경기도 평택시 세교동 산3-8,37.011591,127.091001,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00106,17호 어린이공원(고덕국제화지구 좌교리),어린이공원,nan,경기도 평택시 세교동 26,37.004107,127.089859,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00107,18호 어린이공원(고덕국제화지구 해창리),어린이공원,nan,경기도 평택시 세교동 288-1,37.008211,127.08741,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00108,19호 어린이공원(고덕국제화지구),어린이공원,nan,경기도 평택시 세교동 37-3,37.006081,127.087364,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00109,1호 어린이공원(동삭 세교지구),어린이공원,nan,경기도 평택시 평택동 38,36.993417,127.087884,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00110,1호 어린이공원(포승지구 BIX),어린이공원,nan,경기도 평택시 군문동 360-3,36.987728,127.084538,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00111,1호 어린이공원(화양지구),어린이공원,nan,경기도 평택시 동삭동 546,37.020321,127.081163,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00112,20호 어린이공원(고덕국제화지구  해창리),어린이공원,nan,경기도 평택시 세교동 559-2,37.000296,127.083343,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00113,23호 현덕 어린이공원(인광2지구),어린이공원,nan,경기도 평택시 지제동 산7-7임,37.022168,127.077426,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00114,25호 어린이공원(여염리),어린이공원,nan,경기도 평택시 비전동 927,36.995114,127.109641,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00115,26호 어린이공원(서정동),어린이공원,nan,경기도 평택시 용이동 690,36.993175,127.124286,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00116,27호 어린이공원(율포리),어린이공원,nan,경기도 평택시 죽백동 816-4공,37.002339,127.124685,경기도 평택시청,031-8024-4248,경기도 평택시
41220-00117,28호 어린이공원(서정동),어린이공원,nan,경기도 평택시 세교동 408-2전,37.013263,127.075078,경기도 평택시청,031-8024-4248,경기도 평택시
41370-00038,수청제3어린이공원,어린이공원,nan,경기도 오산시 내삼미동 862,37.1743043159,127.0584887935,오산시 환경사업소 공원녹지과,031-0836-6475,경기도 오산시
44270-00142,공원:송산2 일반산업단지:5(명랑공원),소공원,nan,충청남도 당진시 송산면 유곡리 530-2,36.9649116,126.6909279,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00143,공원:송산2 일반산업단지:6(희망공원),소공원,nan,충청남도 당진시 송산면 유곡리 489,36.9620435,126.6909671,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00144,공원:송산2 일반산업단지:7(누리공원),소공원,nan,충청남도 당진시 송산면 유곡리 485-7,36.9592673,126.6909362,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00145,공원:송산2 일반산업단지:8(두어기공원),소공원,nan,충청남도 당진시 송산면 유곡리 385,36.9582193,126.6896627,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00146,공원:송산2 일반산업단지:9,소공원,nan,충청남도 당진시 송산면 유곡리 410-34,36.958308,126.6935418,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00147,공원:아산국가산단(고대:7)(고대공원),근린공원,nan,충청남도 당진시 송악읍 한진리 404,36.97310699,126.7587494,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00148,공원:아산국가산단(고대:9)(해안공원),근린공원,nan,충청남도 당진시 송악읍 한진리 403-4,36.97606241,126.7775934,충청남도 당진시청,041-350-4182,충청남도 당진시
